"clinic_name","clinic_addr_line1","clinic_suite","clinic_addr_line2","clinic_city_desc","clinic_state_desc","clinic_zip","county_desc","total_volume_ordered","most_recent_order_date","georeferenced_latitude_longitude","total_pfizer_ordered","total_moderna_ordered","total_janssen_ordered"
"RITE AID STORE #11025","65 NEWBERRY PARKWAY",,,"ETTERS","Pennsylvania","17319","York",,,"POINT (-76.805528 40.159826)",,,
"Giant Eagle Pharmacy-39","331 Washington Road",,,"Washington","Pennsylvania","15301","Washington",,,"POINT (-80.225499 40.185646)",,,
"Walgreens Store # 13787","1800 CENTER ST",,,"CAMP HILL","Pennsylvania","17011","Cumberland",,,"POINT (-76.931906 40.25995)",,,
"RITE AID STORE #10942","410 COOKE LANE",,,"PITTSBURGH","Pennsylvania","15234","Allegheny",,,"POINT (-80.032551 40.370117)",,,
"UPMC-Hamot","201 State St",,,"Erie","Pennsylvania","16507","Erie","1170","2021-04-13T00:00:00.000","POINT (-80.087825 42.133331)",,,
"RITE AID STORE #11012","3331 PLEASANT VALLEY BLVD.",,,"ALTOONA","Pennsylvania","16602","Blair",,,"POINT (-78.401391 40.48278)",,,
"RITE AID STORE #00188","805 HUNTINGDON PIKE",,,"Huntingdon Valley","Pennsylvania","19006","Montgomery",,,"POINT (-75.093812 40.088783)",,,
"Superior Care Pharmacy Incorporated","518 Burke Bypass",,,"Olyphant","Pennsylvania","18447","Lackawanna",,,"POINT (-75.596869 41.470483)",,,
"Weis Pharmacy-55","1603 Lincoln Highway East",,,"Lancaster","PA","17602","Lancaster",,,"POINT (-76.271054 40.037873)",,,
"Weis Pharmacy-43","2160 White Street",,,"York","PA","17404","York",,,"POINT (-76.770086 39.963143)",,,
"Weis Pharmacy-144","5580 Crawford Drive",,,"Bethlehem (Part-Northampton)","Pennsylvania","18017","Northampton",,,"POINT (-75.389087 40.673466)",,,
"CVS/pharmacy17321","610 N West End Blvd",,,"Quakertown","PA","189514100","Bucks",,,"POINT (-75.368519 40.460185)",,,
"CVS/Pharmacy 17723","1589 Fruitville Pike",,,"Lancaster","Pennsylvania","17601","Lancaster",,,"POINT (-76.315216 40.066065)",,,
"LVRX Pharmacy","211 South Market Street",,,"Ligonier","Pennsylvania","15658","Westmoreland","300","2021-04-13T00:00:00.000","POINT (-79.239245 40.24177)",,,
"Redners Pharmacy #22","1 Goldstar Plaza",,,"Shenandoah","Pennsylvania","17976","Schuylkill",,,"POINT (-76.201192 40.820315)",,,
"Weis Pharmacy-168","3825 Sullivan Trail",,,"Easton","PA","18040","Northampton",,,"POINT (-75.241801 40.744495)",,,
"CVS/pharmacy05011","9 Main St.",,,"Wellsboro","Pennsylvania","16901","Tioga",,,"POINT (-77.298176 41.750466)",,,
"Walmart Store #3475","650 S TROOPER RD",,,"NORRISTOWN","Pennsylvania","19403","Montgomery",,,"POINT (-75.404542 40.127712)",,,
"Wind Gap Community Pharmacy Inc","31 W 1ST ST",,,"Wind Gap","Pennsylvania","18091","Northampton","1500","2021-04-13T00:00:00.000","POINT (-75.296611 40.840151)",,,
"Hanover Family Practice-Clover","112 Clover Lane",,,"Hanover","Pennsylvania","17331","York","100","2021-04-13T00:00:00.000","POINT (-76.966341 39.781023)",,,
"Walmart Store #3253","108 WASHINGTON TOWNE BLVD N",,,"EDINBORO","Pennsylvania","16412","Erie",,,"POINT (-80.172865 41.879611)",,,
"Weis Pharmacy-148","1651 E. Cumberland Street",,,"Lebanon","PA","17042","Lebanon",,,"POINT (-76.381601 40.350357)",,,
"GIANT PHARMACY-6271","14635 MT AIRY ROAD",,,"SHREWSBURY","PA","17361","York",,,"POINT (-76.670992 39.773322)",,,
"Price Chopper Pharmacy-135","1228 O'Neill Highway",,,"Dunmore","Pennsylvania","18512","Lackawanna",,,"POINT (-75.619328 41.436146)",,,
"RITE AID STORE #01197","446 WEST MAIN STREET",,,"MONONGAHELA","Pennsylvania","15063","Washington",,,"POINT (-79.927757 40.203839)",,,
"CVS/pharmacy04039","300 8th Street",,,"Ambridge","Pennsylvania","15003","Beaver",,,"POINT (-80.228284 40.589132)",,,
"Weis Pharmacy-58","5140 Simpson Ferry Rd",,,"Mechanicsburg","Pennsylvania","17050","Cumberland",,,"POINT (-76.975491 40.218958)",,,
"CVS/pharmacy04234","5801 Tilghman Street",,,"Allentown","Pennsylvania","18104","Lehigh",,,"POINT (-75.589702 40.591854)",,,
"MARTINS PHARMACY-6466","1000 LOGAN BOULEVARD","SUITE 108",,"ALTOONA","PA","16602","Blair",,,"POINT (-78.401939 40.475136)",,,
"RITE AID STORE #01304","124 SOUTH FRONT STREET",,,"STEELTON","Pennsylvania","17113","Dauphin",,,"POINT (-76.838351 40.233828)",,,
"Phoebe Services Pharmacy-East Petersburg","1110 ENTERPRISE ROAD","C",,"East Petersburg","Pennsylvania","17520","Lancaster",,,"POINT (-76.350135 40.088972)",,,
"VDI-Park Avenue Pharmacy Inc","220 Park Ave",,,"Chambersburg","Pennsylvania","17201","Franklin",,,"POINT (-77.647626 39.948047)",,,
"AHOLD USA-GIANT PHARMACY 6011","2450 CHEMICAL ROAD",,,"PLYMOUTH MEETING","PA","19462","Montgomery",,,"POINT (-75.292326 40.101766)",,,
"RITE AID STORE #10892","417 CHARTIERS STREET",,,"BRIDGEVILLE","Pennsylvania","15017","Allegheny",,,"POINT (-80.113495 40.355183)",,,
"CVS/pharmacy01309","250 South Courtland Street",,,"East Stroudsburg","Pennsylvania","18301","Monroe",,,"POINT (-75.182888 40.995797)",,,
"Horsham Square Pharmacy","575 Horsham Road",,"Unit C20","Horsham","Pennsylvania","19044","Montgomery",,,"POINT (-75.146415 40.188588)",,,
"Sav-On Pharmacy-Downingtown","3951 Lincoln Hwy",,,"Downingtown","Pennsylvania","19335","Chester",,,"POINT (-75.740465 39.996905)",,,
"GIANT PHARMACY-6005","6560 CARLISLE PIKE","SUITE 100",,"MECHANICSBURG","PA","17050","Cumberland",,,"POINT (-77.029936 40.246134)",,,
"RITE AID STORE #07853","901 S SAINT MARYS STREET",,,"SAINT MARYS","Pennsylvania","15857","Elk",,,"POINT (-78.560618 41.408245)",,,
"CVS/pharmacy01599","326 Market Street",,,"Berwick","Pennsylvania","18603","Columbia",,,"POINT (-76.235317 41.056883)",,,
"GIANT PHARMACY-6018","760 ROUTE 113",,,"SOUDERTON","PA","18964","Montgomery",,,"POINT (-75.306284 40.319285)",,,
"RITE AID STORE #03613","5277 SIMPSON FERRY ROAD",,,"MECHANICSBURG","Pennsylvania","17050","Cumberland",,,"POINT (-76.991542 40.216025)",,,
"CVS/pharmacy01637","205 South Market Street",,,"Millersburg","Pennsylvania","17061","Dauphin",,,"POINT (-76.961733 40.534184)",,,
"CVS/pharmacy05879","855 S. Broadway",,,"Wind Gap","Pennsylvania","18091","Northampton",,,"POINT (-75.296486 40.838512)",,,
"AHOLD USA-GIANT PHARMACY-6088","450 E MAIN ST",,,"Middletown","Pennsylvania","17057","Dauphin",,,"POINT (-76.7227 40.201236)",,,
"Smart Choice Pharmacy","1941 Street rd",,,"Bensalem","Pennsylvania","19020","Bucks",,,"POINT (-74.945723 40.096975)",,,
"RITE AID STORE #01800","4551 MILFORD ROAD",,,"EAST STROUDSBURG","Pennsylvania","18302","Monroe",,,"POINT (-75.111024 41.049263)",,,
"CVS Pharmacy #11084","1225 Third Street",,,"Whitehall","Pennsylvania","18052","Lehigh",,,"POINT (-75.473388 40.642102)",,,
"Walgreens Store # 9674","133 W. 8th Ave.",,,"Homestead","Pennsylvania","15120","Allegheny",,,"POINT (-79.912842 40.405519)",,,
"CVS/Pharmacy 17264","120 Matthew Drive",,,"Uniontown","Pennsylvania","15401","Fayette",,,"POINT (-79.755943 39.908255)",,,
"GIANT PHARMACY-6045","849 WEST BALTIMORE PIKE",,,"WEST GROVE","PA","19390","Chester",,,"POINT (-75.875122 39.824105)",,,
"CVS/pharmacy05700","3161 Mt. Morris Rd",,,"Waynesburg","Pennsylvania","15370","Greene",,,"POINT (-80.161743 39.895014)",,,
"RITE AID STORE #10976","431 COMMONS DRIVE",,,"DUBOIS","Pennsylvania","15801","Clearfield",,,"POINT (-78.733627 41.124095)",,,
"Weis Markets # 227","431 Dublin Pike",,,"Perkasie","Pennsylvania","18944","Bucks",,,"POINT (-75.252067 40.402447)",,,
"The Hometown Pharmacy-Greensburg","730 E. Pittsburgh St",,,"Greensburg","Pennsylvania","15601","Westmoreland","100","2021-04-13T00:00:00.000","POINT (-79.527622 40.302481)",,,
"Old Forge Pharmacy","821 S. Main St.","1",,"Old Forge","Pennsylvania","18518","Lackawanna",,,"POINT (-75.742459 41.362478)",,,
"Giant Eagle Pharmacy-10","8901 Rt. 30 N. Huntingdon Sq",,,"North Huntingdon","Pennsylvania","15642","Westmoreland",,,,,,
"CVS/pharmacy17336","550 Grandview Crossing Dr",,,"Gibsonia","Pennsylvania","15044","Allegheny",,,"POINT (-79.939587 40.641735)",,,
"RITE AID STORE #06740","3106 E PLEASANT VALLEY BLVD",,,"Altoona","Pennsylvania","16601","Blair",,,"POINT (-78.321477 40.59662)",,,
"Giant Eagle Pharmacy-4","5055 Library Road",,,"Bethel Park","Pennsylvania","15102","Allegheny",,,"POINT (-80.025792 40.34047)",,,
"Sams Club Store #6677","3621 WILLIAM PENN HWY",,,"MONROEVILLE","Pennsylvania","15146","Allegheny",,,"POINT (-79.799399 40.432926)",,,
"HlthDirect Institutional Pharm Srvcs","1901 Dailey Ave",,,"Latrobe","Pennsylvania","15650","Westmoreland",,,"POINT (-79.373138 40.309292)",,,
"CVS/pharmacy17448","2661 Freeport Rd",,,"Pittsburgh","PA","152381441","Allegheny",,,"POINT (-79.837175 40.537445)",,,
"HlthDirect Institu Pharm Svcs-1127","1100 West Chestnut St","200",,"Washington","Pennsylvania","15301","Washington",,,"POINT (-80.267465 40.166921)",,,
"CVS/pharmacy17564","455 Carnegie Blvd",,,"Malvern","PA","193558599","Chester",,,"POINT (-75.520945 40.047968)",,,
"Walgreens Store # 7425","890 W. Main St.",,,"Lansdale","Pennsylvania","19446","Montgomery",,,"POINT (-75.294706 40.248128)",,,
"GIANT PHARMACY-6317","967 S TOWNSHIP LINE RD",,,"ROYERSFORD","PA","19468","Montgomery",,,"POINT (-75.528951 40.193476)",,,
"Sav-On Pharmacy-Upper Darby","State Rd & Lansdowne Ave",,,"Upper Darby","Pennsylvania","19082","Delaware",,,"POINT (-75.287708 39.959335)",,,
"Colonial Pharmacy","708 Ekastown Rd",,"PO Box 123","Sarver","Pennsylvania","16055","Butler","600","2021-04-13T00:00:00.000","POINT (-79.77776 40.712276)",,,
"Whitman Pharmacy","4950 YORK RD",,,"Holicong","Pennsylvania","18928","Bucks","100","2021-04-13T00:00:00.000","POINT (-75.053823 40.329877)",,,
"Giant Eagle Pharmacy-40","5550 Centre Ave",,,"Pittsburgh","Pennsylvania","15232","Allegheny",,,"POINT (-79.93517 40.45694)",,,
"Weis Pharmacy-182","5020 Route 873",,,"Schnecksville","PA","18078","Lehigh",,,"POINT (-75.613976 40.677148)",,,
"The Medicine Shoppe #191","2113 W Main St",,,"Jeffersonville","Pennsylvania","19403","Montgomery",,,"POINT (-75.382018 40.135821)",,,
"Sav-On Pharmacy #4913","48 West Rd.",,,"Newtown","Pennsylvania","18940","Bucks",,,"POINT (-74.943755 40.23436)",,,
"RITE AID STORE #00223","452 SOUTH LEHIGH AVENUE",,,"FRACKVILLE","Pennsylvania","17931","Schuylkill",,,"POINT (-76.228145 40.778917)",,,
"RITE AID STORE #00790","1305 WEST CHESTER PIKE",,,"HAVERTOWN","Pennsylvania","19083","Delaware",,,"POINT (-75.321468 39.973462)",,,
"Giant Eagle Pharmacy-2409","1705 S. Braddock Ave.",,,"Pittsburgh","Pennsylvania","15218","Allegheny",,,"POINT (-79.888395 40.42516)",,,
"Walmart Store #1769","20 INDUSTRIAL DR",,,"DU BOIS","Pennsylvania","15801","Clearfield",,,"POINT (-78.736419 41.127108)",,,
"RITE AID STORE #00721","304 Market Street",,,"Harrisburg","Pennsylvania","17101","Dauphin",,,"POINT (-76.880585 40.260952)",,,
"CVS/pharmacy01592","405 North Fourth Street",,,"Sunbury","Pennsylvania","17801","Northumberland",,,"POINT (-76.788462 40.866147)",,,
"The Hometown Pharmacy-Center","3589 BRODHEAD RD",,,"Monaca","Pennsylvania","15061","Beaver",,,"POINT (-80.31634 40.658601)",,,
"RITE AID STORE #10893","1200 PITTSBURGH STREET",,,"CHESWICK","Pennsylvania","15024","Allegheny",,,"POINT (-79.80381 40.541063)",,,
"Greencastle Family Practice","50 Eastern Avenue","135","PO Box 37","Greencastle","Pennsylvania","17225","Franklin","100","2021-04-13T00:00:00.000","POINT (-77.715309 39.785921)",,,
"Sams Club Store #8175","6781 GRAYSON RD",,,"HARRISBURG","Pennsylvania","17111","Dauphin",,,"POINT (-76.770825 40.262506)",,,
"GIANT PHARMACY-6319","202 CHESTNUT ST",,,"Coplay","Pennsylvania","18037","Lehigh",,,"POINT (-75.493657 40.673844)",,,
"Robert T Henry Pharmacy","54 East King St",,,"Shippensburg","Pennsylvania","17257","Cumberland","100","2021-04-13T00:00:00.000","POINT (-77.519141 40.051126)",,,
"RITE AID STORE #11048","110 MAIN STREET",,,"HELLERTOWN","Pennsylvania","18055","Northampton",,,"POINT (-75.341315 40.572618)",,,
"Walgreens Store # 9876","1262 Lititz Pike",,,"Lancaster","Pennsylvania","17601","Lancaster",,,"POINT (-76.306196 40.060263)",,,
"GIANT PHARMACY-6051","141 EAST SWEDESFORD ROAD",,,"EXTON","PA","19341","Chester",,,"POINT (-75.62932 40.033335)",,,
"CVS/pharmacy08967","8310 Easton Rd.",,,"Ottsville","Pennsylvania","18942","Bucks",,,"POINT (-75.174733 40.4922)",,,
"RITE AID STORE #10914","1700 PINE HOLLOW ROAD",,,"Mc Kees Rocks","Pennsylvania","15136","Allegheny",,,"POINT (-80.096788 40.475305)",,,
"RITE AID STORE #11045","601 SOUTH 25TH STREET",,,"EASTON","Pennsylvania","18045","Northampton",,,"POINT (-75.247875 40.681455)",,,
"CVS/pharmacy02785","1306 MacDade Boulevard",,,"Woodlyn","Pennsylvania","19094","Delaware",,,"POINT (-75.345249 39.877538)",,,
"RITE AID STORE #01371","102 NORTH MAIN STREET",,,"PITTSTON","Pennsylvania","18640","Luzerne",,,"POINT (-75.789382 41.324965)",,,
"Giant Eagle Pharmacy-2435","1117 Milltown Road",,,"Verona","Pennsylvania","15147","Allegheny",,,"POINT (-79.790153 40.498805)",,,
"CVS/pharmacy01667","1052 Lititz Pike",,,"Lititz","Pennsylvania","17543","Lancaster",,,"POINT (-76.304873 40.129373)",,,
"Walmart Store #2129","100 SUPERCENTER DR",,,"CLEARFIELD","Pennsylvania","16830","Clearfield",,,"POINT (-78.400285 41.033214)",,,
"RITE AID STORE #17783","7036 WERTZVILLE ROAD",,,"MECHANICSBURG","Pennsylvania","17050","Cumberland",,,"POINT (-77.049427 40.283218)",,,
"PHN-Clarion Community Health Center","30 Pinnacle Drive","101",,"Clarion","Pennsylvania","16214","Clarion","100","2021-04-13T00:00:00.000",,,,
"Walmart Store #2287","2501 W STATE ST",,,"NEW CASTLE","Pennsylvania","16101","Lawrence",,,"POINT (-80.393517 41.01173)",,,
"Walmart Store #5379","1450 MORRELL AVE",,,"CONNELLSVILLE","Pennsylvania","15425","Fayette",,,"POINT (-79.603842 40.002669)",,,
"Walmart Store #1820","1 HILLTOP PLZ",,,"KITTANNING","Pennsylvania","16201","Armstrong",,,"POINT (-79.541205 40.814618)",,,
"Giant Eagle Pharmacy-32","4810 OLD WILLIAM PENN HWY",,,"Export","Pennsylvania","15632","Westmoreland",,,"POINT (-79.662289 40.423604)",,,
"GIANT PHARMACY-6121","50 BRIAR CREEK PLAZA",,,"BERWICK","PA","18603","Columbia",,,"POINT (-76.274657 41.047728)",,,
"CVS/Pharmacy 10694","141 West Lincoln HWY",,,"Exton","Pennsylvania","19341","Chester",,,"POINT (-75.630836 40.027642)",,,
"RITE AID STORE #11081","556 UNION STREET",,,"LUZERNE","Pennsylvania","18709","Luzerne",,,"POINT (-75.897116 41.283352)",,,
"Exeter Township Health Center","2795 Sullivans Trail",,,"Falls","Pennsylvania","18615","Wyoming","100","2021-04-13T00:00:00.000","POINT (-75.857327 41.445341)",,,
"RITE AID STORE #04791","2023 LYCOMING CREEK ROAD",,,"WILLIAMSPORT","Pennsylvania","17701","Lycoming",,,"POINT (-77.043608 41.259062)",,,
"Sav-On Pharmacy #3798","567 Sproul Rd",,,"Broomall","Pennsylvania","19008","Delaware",,,,,,
"Giant Eagle Pharmacy-2419","581 Pittsburgh Rd",,,"Uniontown","Pennsylvania","15401","Fayette",,,"POINT (-79.726695 39.923469)",,,
"RITE AID STORE #04684","825A EAST CHESTNUT STREET",,,"LANCASTER","Pennsylvania","17602","Lancaster",,,"POINT (-76.2889 40.04295)",,,
"Weis Pharmacy-35","224 N. Logan Blvd",,,"Burnham","PA","17009","Mifflin",,,"POINT (-77.570555 40.63251)",,,
"RITE AID STORE #01071","60 SOUTH WATER STREET",,,"SHARON","Pennsylvania","16146","Mercer",,,"POINT (-80.390338 41.40301)",,,
"RITE AID STORE #11047","7719 MAIN STREET",,,"FOGELSVILLE","Pennsylvania","18051","Lehigh",,,"POINT (-75.627987 40.584216)",,,
"CVS Pharmacy # 960","1520 Northampton Street",,,"Easton","Pennsylvania","18042","Northampton",,,"POINT (-75.232586 40.690092)",,,
"Comm Health and Dental-Robinson St","351 W Schuylkill Ave","G-15",,"Pottstown","Pennsylvania","19465","Chester","200","2021-04-13T00:00:00.000","POINT (-75.662171 40.233362)",,,
"RITE AID STORE #11018","429 SOUTH HANOVER STREET",,,"CARLISLE","Pennsylvania","17013","Cumberland",,,"POINT (-77.190062 40.195233)",,,
"Walgreens Store # 9736","4885 McKnight Rd.",,,"Pittsburgh","Pennsylvania","15237","Allegheny",,,"POINT (-80.009605 40.530185)",,,
"Weis Pharmacy-10","140 Continental Blvd",,,"Danville","Pennsylvania","17821","Montour",,,,,,
"CWC-Costco Pharmacy 01081","14 W Lightcap Road",,,"Pottstown","Pennsylvania","19464","Montgomery",,,"POINT (-75.578296 40.239416)",,,
"ShopRite Pharmacy #439","942 West Street Road",,,"Warminster","PA","18974","Bucks",,,"POINT (-75.107549 40.211168)",,,
"RITE AID STORE #01662","980 EAST MAIN STREET",,,"PALMYRA","Pennsylvania","17078","Lebanon",,,"POINT (-76.581228 40.31453)",,,
"Wegmans Pharmacy #075","6143 Peach Street",,,"Erie","PA","16509","Erie",,,"POINT (-80.093592 42.060834)",,,
"Walmart Store #2597","10 KIMBERLY LN",,,"CRANBERRY","Pennsylvania","16319","Venango",,,"POINT (-79.718348 41.350517)",,,
"PHN-Wayne Primary Care","650 East Avenue","B",,"Erie","Pennsylvania","16503","Erie","100","2021-04-13T00:00:00.000","POINT (-80.06264 42.137121)",,,
"RITE AID STORE #01780","1516 JEFFERSON AVENUE",,,"WINDBER","Pennsylvania","15963","Somerset",,,"POINT (-78.831401 40.233993)",,,
"Penn State Health Cmty Vax Site-Berks","2400 Bernville Road",,,"Reading","Pennsylvania","19605","Berks","1400","2021-04-13T00:00:00.000","POINT (-75.970548 40.374401)",,,
"GIANT PHARMACY-6517","168 N FLOWERS MILL ROAD",,,"LANGHORNE","PA","19047","Bucks",,,"POINT (-74.907509 40.181649)",,,
"Walmart Store #2145","2601 MACARTHUR RD RELOCATION",,,"WHITEHALL","Pennsylvania","18052","Lehigh",,,"POINT (-75.492227 40.644372)",,,
"Giant Eagle Pharmacy-494","800  McKeesport Road",,,"Elizabeth","Pennsylvania","15037","Allegheny",,,"POINT (-79.87709 40.277332)",,,
"RITE AID STORE #01429","211 EAST MAIN STREET",,,"EVERETT","Pennsylvania","15537","Bedford",,,"POINT (-78.369883 40.011901)",,,
"CVS/pharmacy05098","330 W. Columbus Ave.",,,"Corry","Pennsylvania","16407","Erie",,,"POINT (-79.654529 41.937492)",,,
"AHOLD USA-GIANT PHARMACY-6313","2174 WEST UNION BOULEVARD",,,"BETHLEHEM","PA","18018","Lehigh",,,"POINT (-75.418335 40.626563)",,,
"CVS/pharmacy04013","200 East Plank Road",,,"Altoona","Pennsylvania","16602","Blair",,,"POINT (-78.40204 40.4817)",,,
"RITE AID STORE #01549","630 MAIN ST.",,,"PORTAGE","Pennsylvania","15946","Cambria",,,"POINT (-78.672874 40.386862)",,,
"George L Martin MD PC Allergy and Asthma","Lankenau Med. Bldg West","237","100 E. Lancaster Ave.","Wynnewood","Pennsylvania","19096","Montgomery","100","2021-04-13T00:00:00.000",,,,
"Walmart Store #3281","5741 BUFFALO RD",,,"HARBORCREEK","Pennsylvania","16421","Erie",,,"POINT (-79.968093 42.159511)",,,
"RITE AID STORE #11174","2210 STATE HILL ROAD",,,"WYOMISSING","Pennsylvania","19610","Berks",,,"POINT (-75.980808 40.339923)",,,
"LCH La Comunidad Hispana","731 West Cypress Street",,,"Kennett Square","Pennsylvania","19348","Chester","200","2021-04-13T00:00:00.000","POINT (-75.722913 39.844136)",,,
"Walmart Store #1568","1275 N HERMITAGE RD",,,"HERMITAGE","Pennsylvania","16148","Mercer",,,"POINT (-80.450362 41.251142)",,,
"GIANT PHARMACY-6464","721 W.SPROUL ROAD",,,"SPRINGFIELD","PA","19064","Delaware",,,"POINT (-75.351974 39.934844)",,,
"RITE AID STORE #02267","452 POND STREET",,,"BRISTOL","Pennsylvania","19007","Bucks",,,"POINT (-74.85467 40.099459)",,,
"CVS/pharmacy01307","1300 N Charlotte Street",,,"Pottstown","Pennsylvania","19464","Montgomery",,,"POINT (-75.627861 40.26529)",,,
"AHOLD USA-GIANT PHARMACY 6448","180 UPLAND SQ DR",,,"STOWE","PA","19464","Montgomery",,,"POINT (-75.65366 40.267867)",,,
"Weis Pharmacy-52","1916 Lycoming Creek Road",,,"Williamsport","PA","17701","Lycoming",,,"POINT (-77.043559 41.255188)",,,
"Walmart Store #2236","651 MAIN ST",,,"HARLEYSVILLE","Pennsylvania","19438","Montgomery",,,"POINT (-75.395496 40.285053)",,,
"Walgreens Store # 10837","379 North St.",,,"Meadville","Pennsylvania","16335","Crawford",,,"POINT (-80.147577 41.640319)",,,
"WILSONS PHARMACY","4101 PENN AVE",,,"Pittsburgh","Pennsylvania","15224","Allegheny","1000","2021-04-13T00:00:00.000","POINT (-79.955101 40.46569)",,,
"CVS/pharmacy16498","201 Sunrise Blvd",,,"Exton","PA","193412336","Chester",,,"POINT (-75.630557 40.038456)",,,
"Robert Packer Hospital","Guthrie Square",,,"Sayre","Pennsylvania","18840","Bradford","1370","2021-04-13T00:00:00.000",,,,
"Penn State Health St Joseph Med Center","PHARMACY",,"2500 BERNVILLE RD","READING","PENNSYLVANIA","19605","Berks","1300","2021-04-13T00:00:00.000",,,,
"Guthrie Clinic Sayre","1 GUTHRIE SQ",,"Sayre PA","Sayre","Pennsylvania","18840","Bradford","100","2021-04-13T00:00:00.000","POINT (-76.518676 41.980974)",,,
"Weis Pharmacy-132","3369 Route 100",,,"Macungie","PA","18062","Lehigh",,,"POINT (-75.563144 40.518631)",,,
"Walmart Store #2603","300 WALMART DR",,,"GIBSONIA","Pennsylvania","15044","Allegheny",,,"POINT (-79.944496 40.62153)",,,
"CVS/pharmacy01577","1000 North Market Street",,,"Selinsgrove","Pennsylvania","17870","Snyder",,,"POINT (-76.856252 40.811142)",,,
"Giant Eagle Pharmacy-61","2021 Wharton Ave.",,,"Pittsburgh","Pennsylvania","15203","Allegheny",,,"POINT (-79.977315 40.430371)",,,
"Weis Pharmacy-197","65 Meadow Green Drive",,,"Mifflinburg","PA","17844","Union",,,"POINT (-77.031311 40.924542)",,,
"Norland Avenue Pharmacy","12 St. Paul Drive","105",,"Chambersburg","Pennsylvania","17201","Franklin","1570","2021-04-13T00:00:00.000","POINT (-77.634763 39.943292)",,,
"CVS/pharmacy17199","8931 Rte 30",,,"North Huntingdon","PA","156422791","Westmoreland",,,"POINT (-79.689547 40.319547)",,,
"Wegmans Pharmacy #079","3900 Tilghman Street",,,"Allentown","PA","18104","Lehigh",,,,,,
"Quality Pharmacy LTC","164 Medical Center Drive","Suite F",,"Chicora","Pennsylvania","16025","Butler",,,"POINT (-79.749293 40.940075)",,,
"RITE AID STORE #04676","407 CENTRAL AVENUE",,,"JOHNSTOWN","Pennsylvania","15902","Cambria",,,"POINT (-78.9113 40.300277)",,,
"AHOLD USA-MARTINS PHARMACY-6292","200 E CHESTNUT AVE",,,"ALTOONA","PA","16601","Blair",,,"POINT (-78.390466 40.52717)",,,
"Giant Eagle Pharmacy-91","318 Cedar Ave",,,"Pittsburgh","Pennsylvania","15212","Allegheny",,,"POINT (-80.00097 40.451004)",,,
"Symbria Rx Great Lakes South LLC","1596 Hancock Avenue",,,"Apollo (Part-Armstrong)","Pennsylvania","15613","Armstrong",,,"POINT (-79.570446 40.576025)",,,
"Perry Physicians PC","4570 Valley Rd",,,"Shermans Dale","Pennsylvania","17090","Perry","400","2021-04-13T00:00:00.000","POINT (-77.158983 40.319332)",,,
"Phoebe Services Pharmacy-Colmar","311 Bethlehem Pike",,,"Colmar","Pennsylvania","18915","Montgomery",,,"POINT (-75.259793 40.275631)",,,
"AHOLD USA-GIANT PHARMACY-6277","7673 LAKE RAYSTOWN SHOPPING CENTER",,,"HUNTINGDON","PA","16652","Huntingdon",,,"POINT (-78.013383 40.479429)",,,
"Sav-On Pharmacy #721","785 Starr St",,,"Phoenixville","Pennsylvania","19460","Chester",,,"POINT (-75.508901 40.123245)",,,
"ShopRite #414","921 Drinker Turnpike","24",,"Covington Twp","Pennsylvania","18444","Lackawanna",,,,,,
"CVS/pharmacy04020","201 Fieldcrest Dr.",,,"Nottingham","Pennsylvania","19362","Chester",,,"POINT (-76.021231 39.750388)",,,
"RITE AID STORE #02375","925 WEST ERIE PLAZA",,,"ERIE","Pennsylvania","16505","Erie",,,"POINT (-80.133087 42.107341)",,,
"GIANT PHARMACY-6046","2721 STREET ROAD",,,"BENSALEM","PA","19020","Bucks",,,"POINT (-74.953274 40.110554)",,,
"CVS/pharmacy17266","4600 High Pointe Blvd",,,"Harrisburg","PA","171112447","Dauphin",,,"POINT (-76.801918 40.243416)",,,
"GIANT PHARMACY-6294","1255 CARLISLE ROAD",,,"YORK","PA","17404","York",,,"POINT (-76.768499 39.964257)",,,
"RITE AID STORE #03447","126 W MAIN STREET",,,"Grove City","Pennsylvania","16127","Mercer",,,"POINT (-80.087783 41.157328)",,,
"RITE AID STORE #10998","165 BUTLER ROAD",,,"KITTANNING","Pennsylvania","16201","Armstrong",,,"POINT (-79.526273 40.805759)",,,
"Sams Club Store #6575","249 SUMMIT PARK DR",,,"PITTSBURGH","Pennsylvania","15275","Allegheny",,,"POINT (-80.176257 40.449701)",,,
"RITE AID STORE #10904","4960 WILLIAM FLYNN HWY STE 10",,,"ALLISON PARK","Pennsylvania","15101","Allegheny",,,"POINT (-79.947174 40.60223)",,,
"Towne Drugs","227 Commercial Ave",,,"ASPINWALL","Pennsylvania","15215","Allegheny","100","2021-04-13T00:00:00.000","POINT (-79.904015 40.49015)",,,
"FPC-Middleburg Family Practice Center","1 Dock Hill Road",,,"Middleburg","Pennsylvania","17842","Snyder","100","2021-04-13T00:00:00.000","POINT (-77.031795 40.789558)",,,
"Price Chopper Pharmacy-173","1026 Wyoming Avenue",,,"Wyoming","Pennsylvania","18644","Luzerne",,,"POINT (-75.852958 41.301152)",,,
"MARTINS PHARMACY-6290","800 VANDERBILT ROAD",,,"CONNELLSVILLE","PA","15425","Fayette",,,"POINT (-79.603029 40.018548)",,,
"Community Health Clinic-Greensburg","218 South Maple Avenue","102",,"Greensburg","Pennsylvania","15601","Westmoreland","100","2021-04-13T00:00:00.000","POINT (-79.542686 40.300958)",,,
